id	text	creation_time	user_loc
787308968448290816	Liberals are looking for excuses to not legalize pot because in actuality they are very conservative. #cdnpoli https://t.co/AWV8Av6HdD	Sat Oct 15 15:07:40 +0000 2016	Howe Island
787283127563542529	Trudeau's Faux-Feminism similar to Faux Marijuana Legalization; Does @JustinTrudeau have a spine? #cannabis #Trump https://t.co/6ml7RRwihX	Sat Oct 15 13:24:59 +0000 2016	Victoria, BC
787086663793061890	The DEA continuing, supporting, and stoking the war on drugs, as usual https://t.co/I7ToH201c7 via @nbcnews	Sat Oct 15 00:24:18 +0000 2016	Edmonton, Alberta
787060300629487616	Safeguarding Medical Cannabis as Legalization Unfolds @JohnConroyMMAR Robert W. E. Laurie @KirkTousaw @IntlCBC #ICBCVAN #Vancouver https://t.co/sezYjY4aAR	Fri Oct 14 22:39:33 +0000 2016	Vancouver, BC
787020495673696256	Great panel on Legalization in Canada at ICBC in Vancouver @IntlCBC #ICBCVAN with @HempAce @jamiesashaw @KirkTousaw @dmacpher #cannabis https://t.co/Z28YqBTWWI	Fri Oct 14 20:01:22 +0000 2016	Vancouver, BC
787018050516111361	Absurd to think this would work: Minimum age for legal marijuana should be 25, according to Ottawa Public Health https://t.co/YXuuA9lNq7	Fri Oct 14 19:51:39 +0000 2016	Toronto
786939166198149120	How medical pot sellers plan to prevent their businesses from going up in smoke https://t.co/ynpi603Klj	Fri Oct 14 14:38:12 +0000 2016	Edmonton, AB
786929639432204288	The @OttawaCitizen -How #Ottawa's health unit says we should legalize marijuana. #scleroderma https://t.co/PYghD0X3Qi https://t.co/Rmvk6sjWz1	Fri Oct 14 14:00:21 +0000 2016	Canada
786724673698410496	#Cannabis legalization works. Prohibition is a failed and harmful policy. #nomoredrugwar #legalizeit #LegalizedIt https://t.co/cvIL0P7cvz	Fri Oct 14 00:25:53 +0000 2016	Portland, Oregon
786630806919794688	What does the CEO of pot producer @tilray think about pot legalization? Our Facebook video: #OCannabis @VancouverSun https://t.co/yQyeJs9jzH	Thu Oct 13 18:12:53 +0000 2016	Vancouver
786620261873311744	'Stoner' Tommy Chong says Canada's pot legislation could set example for U.S. https://t.co/QUgrzqEm1W	Thu Oct 13 17:30:59 +0000 2016	Ottawa
786613490458820608	'Stoner' Tommy Chong thinks the US could learn from Canadian pot laws. https://t.co/3TXGSVLyrO	Thu Oct 13 17:04:05 +0000 2016	Vancouver, BC
786603655340232704	Ace says make sure you have enough cannabis products to wait out the West Coast storms #FreeCannabis #Legalize https://t.co/G0XU3FtvqX	Thu Oct 13 16:25:00 +0000 2016	Sooke, B.C. Canada
